Genre           Precision    Recall    F1-score    Support
action              0.439     0.597       0.506     1921.0
adventure           0.450     0.450       0.450     1882.0
comedy              0.531     0.718       0.611     2481.0
crime               0.258     0.104       0.148      705.0
drama               0.452     0.779       0.572     2587.0
horror              0.358     0.326       0.341      865.0
romance             0.293     0.130       0.180      555.0
thriller            0.273     0.061       0.100      588.0
micro avg           0.455     0.540       0.494    11584.0
macro avg           0.382     0.395       0.363    11584.0
weighted avg        0.431     0.540       0.464    11584.0
samples avg         0.455     0.564       0.491    11584.0
