Genre           Precision    Recall    F1-score    Support
action              0.527     0.643       0.579     1921.0
adventure           0.531     0.631       0.577     1882.0
comedy              0.609     0.725       0.662     2481.0
crime               0.422     0.431       0.426      705.0
drama               0.559     0.720       0.629     2587.0
horror              0.437     0.494       0.464      865.0
romance             0.404     0.431       0.417      555.0
thriller            0.355     0.350       0.353      588.0
micro avg           0.529     0.627       0.573    11584.0
macro avg           0.481     0.553       0.513    11584.0
weighted avg        0.525     0.627       0.571    11584.0
samples avg         0.529     0.646       0.568    11584.0
